ID,Holy,Dark,Rock,Wind,Fire,Water,Lightning,Ice,Wood,Ghost,Primal,Arcane
91,1,1,5,2,4,2,2,3,1,3,2,2
92,3,3,1,1,3,2,2,2,4,1,4,2
93,3,1,2,2,3,3,3,1,4,2,3,1
94,2,5,2,1,2,5,1,1,3,2,1,3
95,1,2,1,2,1,3,2,3,4,4,3,2
96,2,1,3,2,2,3,2,1,2,5,2,3
97,1,2,1,3,3,3,2,3,2,1,3,4
98,4,1,2,5,2,2,2,3,2,1,3,1
99,3,1,2,2,2,1,4,1,4,3,2,3
100,2,3,2,1,2,2,2,3,1,2,4,4
101,2,1,4,2,4,2,2,1,2,3,1,4
102,3,2,3,3,2,2,1,5,1,2,2,2
103,3,4,3,3,1,2,1,3,2,3,2,1
104,2,1,3,3,1,3,4,2,2,1,4,2
105,2,3,4,3,2,1,1,1,2,3,3,3
106,4,2,2,3,2,2,1,4,1,2,2,3
107,1,1,5,2,2,3,3,3,3,2,1,2
108,2,1,2,1,1,5,2,1,2,5,4,2
109,1,1,4,2,4,5,2,3,2,2,1,1
110,3,2,1,3,4,1,3,2,1,4,3,1
111,4,3,2,2,1,3,3,2,3,2,1,2
112,2,3,3,3,4,2,2,1,2,2,1,3
113,2,1,2,2,4,2,3,2,2,5,1,2
114,3,5,2,5,1,3,1,1,2,1,1,3
115,2,4,3,1,5,2,2,3,2,1,2,1
116,1,2,1,4,2,2,3,2,3,4,1,3
117,1,2,1,3,5,4,2,1,2,4,2,1
118,3,1,3,2,5,2,2,3,2,2,2,1
119,2,2,2,1,5,3,2,4,2,2,1,2
120,3,2,2,2,1,3,1,5,2,2,1,4
121,3,2,2,3,2,2,1,4,4,1,3,1
122,4,4,3,2,2,1,1,2,3,2,1,3
123,2,1,3,1,2,3,4,3,2,4,2,1
124,1,4,1,1,1,2,3,3,4,4,3,1
125,4,2,1,2,1,1,4,1,5,1,2,4
126,2,2,4,3,1,1,5,2,4,1,1,2
127,2,2,2,1,3,4,4,3,1,2,2,2
128,3,2,2,1,2,2,2,3,1,5,3,2
129,5,4,2,1,2,3,2,2,1,1,2,3
130,4,2,1,1,3,2,4,3,1,3,1,3
131,2,1,1,4,2,3,4,2,2,2,2,3
132,1,2,1,5,2,4,3,2,1,2,2,3
133,3,1,3,2,4,1,3,2,5,2,1,1
134,4,3,2,2,1,1,4,3,1,2,1,4
135,2,3,3,2,3,2,3,2,2,1,3,2
136,2,1,4,3,2,1,4,3,2,1,3,2
137,1,1,3,1,2,3,2,3,3,3,3,3
138,3,1,1,2,2,2,2,4,3,3,3,2
139,1,3,1,2,1,3,3,3,1,3,5,2
140,1,3,4,1,3,1,4,2,3,3,1,2
141,1,2,4,3,1,3,4,1,3,1,2,3
142,2,1,1,1,4,5,1,2,3,5,1,2
143,2,3,4,2,3,1,4,1,1,4,1,2
144,2,1,4,3,2,2,4,1,2,3,2,2
145,3,1,2,3,1,1,3,3,3,4,1,3
146,2,2,2,3,2,3,1,3,2,2,2,4
147,2,1,2,1,3,4,3,3,1,2,4,2
148,2,1,2,2,3,2,2,3,2,2,5,2
149,3,3,3,2,2,4,1,2,2,2,1,3
150,1,3,4,2,3,2,1,2,1,4,3,2
151,1,2,1,1,5,2,5,1,1,4,2,3
152,2,1,3,3,1,3,1,2,3,5,2,2
153,3,3,1,1,3,3,2,3,3,4,1,1
154,1,1,2,4,1,4,3,3,1,2,3,3
155,3,2,3,4,4,4,2,1,2,1,1,1
156,2,2,4,3,1,1,1,3,2,4,3,2
157,5,2,2,2,1,3,5,1,1,2,2,2
158,2,3,2,1,2,2,1,3,1,2,5,4
159,2,3,2,2,1,3,1,2,3,4,3,2
160,2,3,4,2,3,1,2,2,3,2,2,2
161,3,3,2,3,1,2,1,1,2,3,3,4
162,1,1,2,3,2,5,3,3,1,1,2,4
163,2,2,2,5,1,3,2,2,1,3,1,4
164,1,4,1,2,3,2,2,2,2,5,1,3
165,2,4,2,4,1,3,2,3,2,2,1,2
166,2,1,2,5,2,3,1,4,2,2,3,1
167,1,1,3,3,2,1,3,2,2,4,4,2
168,4,4,1,2,2,2,1,2,2,3,3,2
169,1,5,2,1,3,2,3,3,1,2,3,2
170,2,3,1,1,2,2,3,2,2,2,5,3
171,4,5,1,1,2,2,3,1,2,2,2,3
172,2,2,4,2,3,1,1,3,4,1,2,3
173,2,3,2,1,4,3,2,3,2,3,1,2
174,1,2,3,1,5,2,3,4,1,1,3,2
175,2,2,1,2,3,3,3,2,3,3,2,2
176,1,2,5,3,3,3,5,1,1,1,2,1
177,3,2,2,5,2,3,2,2,1,1,1,4
178,1,1,3,1,2,1,2,3,4,3,5,2
179,1,4,2,1,4,2,3,4,3,1,1,2
180,2,2,3,1,2,2,1,2,5,1,3,4
181,3,1,2,2,1,3,2,4,2,4,1,3
182,3,2,3,2,2,2,2,1,3,2,2,4
183,3,3,3,2,2,2,2,4,2,1,1,3
184,2,1,4,3,3,1,2,2,2,2,4,2
185,4,1,2,3,3,2,4,3,1,2,1,2
186,2,3,1,1,4,1,2,2,2,1,4,5
187,2,5,2,1,2,2,3,2,3,2,2,2
188,1,1,3,2,2,5,2,2,2,1,4,3
189,3,3,2,1,3,2,1,4,2,3,1,3
190,2,2,1,1,2,5,2,5,3,2,1,2
191,2,3,3,3,2,2,3,2,1,3,2,2
192,3,1,4,2,1,2,2,4,3,2,2,2
193,5,2,3,2,1,3,3,2,1,1,3,2
194,2,4,1,2,3,1,1,3,1,4,4,2
195,1,2,2,4,1,3,3,4,2,1,2,3
196,4,2,1,2,2,2,3,2,2,4,2,2
197,1,1,2,2,3,3,3,1,2,4,2,4
198,1,1,2,5,2,2,2,1,5,5,1,1
199,1,2,2,4,3,1,2,1,2,5,2,3
200,2,4,1,2,1,1,3,3,4,1,4,2
201,1,2,3,1,2,4,1,3,4,2,3,2
202,3,3,3,1,5,2,1,2,3,1,2,2
203,3,4,4,1,2,1,1,2,1,4,2,3
204,4,1,1,1,2,4,1,3,2,3,3,3
205,2,5,3,1,1,2,2,2,2,1,3,4
206,3,2,2,2,2,2,4,1,5,1,2,2
207,3,3,3,1,4,4,1,3,1,1,2,2
208,2,1,2,2,1,5,2,4,2,4,2,1
209,1,4,1,5,2,2,1,3,2,5,1,1
210,3,3,1,2,2,2,1,3,2,1,5,3
211,1,2,2,3,2,3,1,3,5,2,3,1
212,3,1,4,4,1,2,2,1,3,1,1,5
213,2,3,2,2,2,2,4,3,2,1,2,3
214,1,2,2,1,3,2,3,4,2,2,3,3
215,3,2,2,1,2,1,2,3,3,5,1,3
216,3,2,2,2,3,2,2,5,1,2,3,1
217,2,2,3,5,1,1,3,4,2,1,2,2
218,4,1,3,4,1,4,3,2,2,1,2,1
219,1,1,3,2,2,4,3,3,1,2,2,4
220,1,2,2,2,5,2,4,2,3,1,1,3
221,3,2,3,1,1,3,3,1,3,5,1,2
222,2,3,2,2,3,2,2,3,2,2,4,1
223,2,5,4,1,1,1,4,1,2,2,3,2
224,1,3,2,4,4,1,2,3,2,2,3,1
225,2,2,1,1,4,1,2,4,3,3,3,2
226,3,1,4,2,2,4,2,2,3,1,2,2
227,3,4,2,3,4,1,1,1,2,1,4,2
228,4,2,1,5,2,2,2,2,2,1,2,3
229,1,3,5,3,3,2,4,1,1,1,2,2
230,1,2,3,4,1,1,4,3,5,2,1,1
231,3,5,3,3,3,1,2,1,1,2,1,3
232,2,4,2,3,1,3,2,1,2,2,4,2
233,1,3,3,3,2,3,2,1,4,3,2,1
234,1,1,2,4,2,2,4,1,3,1,2,5
235,2,1,2,2,5,3,1,3,2,3,3,1
236,3,3,3,2,4,2,1,2,1,2,3,2
237,3,3,1,2,3,4,2,3,3,1,1,2
238,1,3,2,2,4,2,2,5,2,1,2,2
239,2,4,2,4,3,2,1,2,1,3,1,3
240,2,1,3,2,2,5,1,4,2,1,2,3
241,2,4,2,1,2,2,1,2,2,1,5,4
242,1,2,4,2,1,1,4,4,3,2,2,2
243,1,2,3,2,3,3,4,4,1,1,2,2
244,3,2,2,2,2,1,3,2,5,1,3,2
245,1,2,2,3,3,4,2,3,1,2,3,2
246,1,3,2,3,1,3,4,2,2,3,3,1
247,1,2,5,4,1,1,2,3,2,1,2,4
248,1,3,3,3,1,3,1,2,3,3,3,2
249,2,3,3,2,3,1,3,2,1,3,3,2
250,3,4,1,4,3,2,3,1,3,1,1,2
251,3,1,4,1,2,4,2,2,1,3,2,3
252,3,1,2,2,2,4,1,4,2,3,1,3
253,3,1,4,2,3,4,1,1,1,3,2,3
254,4,2,3,1,1,1,3,1,3,3,2,4
255,2,3,3,1,4,2,2,2,1,2,3,3
256,2,3,1,2,2,1,3,2,4,3,4,1
257,4,2,3,2,3,2,3,1,1,3,1,3
258,3,2,3,2,1,2,2,2,5,2,2,2
259,3,2,4,2,3,3,1,1,1,2,2,4
260,2,3,3,2,3,2,2,3,3,2,2,1
261,2,2,3,2,5,1,1,5,2,2,1,2
262,3,5,1,1,3,2,2,3,3,1,2,2
263,1,5,4,2,2,5,1,2,1,2,2,1
264,1,5,2,3,2,1,1,2,5,1,2,3
265,1,2,2,1,3,2,2,3,4,3,1,4
266,4,2,3,2,3,1,2,2,4,2,1,2
267,3,2,1,3,1,2,2,2,5,4,1,2
268,4,3,2,2,2,2,2,2,3,1,3,2
269,2,2,3,5,1,2,3,3,2,1,2,2
270,1,2,3,4,3,2,3,2,3,2,1,2
271,1,2,4,2,3,1,3,3,3,2,3,1
272,4,2,1,3,1,1,3,1,2,4,3,3
273,3,4,2,1,3,2,2,3,3,3,1,1
274,2,4,1,2,1,5,2,2,2,3,2,2
275,1,1,2,3,3,1,4,2,5,2,2,2
276,2,2,1,3,5,1,2,1,4,1,1,5
277,1,4,2,3,1,4,2,2,2,1,3,3
278,3,4,1,4,1,2,4,3,1,2,2,1
279,3,2,3,2,1,1,1,3,4,2,3,3
280,2,3,2,2,1,3,2,3,3,1,3,3
281,1,3,1,2,2,3,3,4,2,3,1,3
282,3,1,1,1,5,5,3,2,1,2,2,2
283,2,3,3,2,1,1,2,4,3,2,3,2
284,1,4,1,2,3,1,4,3,1,4,2,2
285,3,5,2,1,1,2,2,2,4,1,2,3
286,1,3,1,5,3,3,1,2,1,2,4,2
287,2,2,2,3,5,2,4,2,1,1,2,2
288,1,2,3,2,1,2,2,4,2,2,5,2
289,2,2,4,1,1,2,2,5,1,4,3,1
290,2,1,3,1,5,4,4,2,1,1,1,3
291,2,4,2,1,3,3,2,2,1,3,2,3
292,3,1,1,2,5,3,1,3,2,3,3,1
293,3,3,1,2,1,2,3,5,1,2,3,2
294,2,2,3,3,2,1,3,3,2,3,3,1
295,3,2,2,3,3,1,3,4,1,1,2,3
296,2,2,2,1,2,4,2,2,5,1,1,4
297,2,3,4,3,1,3,2,1,2,3,3,1
298,4,2,2,1,3,1,4,4,1,2,3,1
299,2,1,3,1,3,2,2,1,3,2,5,3
300,2,2,3,2,2,3,1,2,4,1,3,3
301,3,2,2,4,4,3,2,1,1,2,3,1
302,3,2,2,1,1,1,3,2,3,5,3,2
303,1,2,1,5,2,3,2,2,2,4,1,3
304,1,5,2,1,1,2,3,2,5,1,3,2
305,1,2,2,4,4,2,1,2,1,2,4,3
306,1,3,1,1,3,2,4,3,2,2,3,3
307,1,3,4,4,1,2,2,1,3,2,4,1
308,2,4,1,2,2,2,1,3,2,2,3,4
309,1,1,5,1,1,3,3,1,4,2,3,3
310,3,1,3,3,2,2,2,1,5,3,1,2
311,1,3,2,3,3,4,1,2,1,2,2,4
312,5,1,4,2,2,2,2,2,2,1,4,1
313,5,3,1,2,2,2,1,1,3,2,4,2
314,2,1,5,4,1,2,1,1,5,3,2,1
315,3,2,3,2,3,2,1,2,2,1,2,5
316,3,1,1,2,2,3,2,3,1,4,3,3
317,2,3,1,3,2,5,1,1,3,1,2,4
318,2,3,1,3,1,1,2,2,4,3,5,1
319,2,2,5,1,1,3,2,1,4,1,5,1
320,1,3,4,2,3,2,3,1,1,2,3,3
321,3,1,1,4,4,1,2,3,2,4,1,2
322,2,1,2,3,2,1,3,4,2,2,1,5
323,3,1,3,3,1,3,2,2,2,5,1,2
324,5,1,2,1,3,1,3,4,1,5,1,1
325,3,3,1,1,3,5,3,2,2,1,2,2
326,2,1,3,4,3,2,1,5,3,2,1,1
327,2,2,2,3,2,2,3,2,1,4,2,3
328,4,4,2,3,2,2,1,1,1,5,2,1
329,3,3,1,4,1,1,2,3,2,3,4,1
330,2,3,3,1,5,2,1,3,2,4,1,1
331,2,1,1,2,1,2,5,2,3,3,2,4
332,3,2,3,2,4,2,2,3,2,1,3,1
333,3,1,2,1,5,2,2,3,2,1,3,3
334,1,2,1,3,2,4,1,1,4,4,1,4
335,1,2,3,3,3,3,2,1,3,2,4,1
336,1,1,2,3,3,5,1,2,4,3,1,2
337,2,2,3,3,2,1,2,2,3,2,2,4
338,3,1,3,1,1,2,2,1,2,4,3,5
339,1,3,1,1,4,2,5,2,4,2,1,2
340,2,3,1,3,2,2,3,5,3,1,1,2
341,1,2,4,2,2,2,3,4,2,2,2,2
342,4,3,3,1,2,1,1,3,3,1,4,2
343,2,4,3,2,1,3,2,1,1,4,1,4
344,3,3,1,2,2,4,2,2,1,2,3,3
345,2,2,2,4,1,2,3,3,2,3,3,1
346,2,4,4,4,3,1,1,1,1,1,4,2
347,5,2,2,2,2,1,2,3,2,3,1,3
348,1,2,5,2,4,1,2,2,2,1,3,3
349,2,4,3,3,2,1,2,1,5,1,2,2
350,1,2,2,4,5,3,1,2,4,1,2,1
351,2,3,3,1,2,3,2,2,2,5,2,1
352,3,3,1,5,3,2,1,3,1,2,2,2
353,1,1,1,3,3,3,2,4,3,3,1,3
354,1,2,2,4,1,3,1,4,5,1,2,2
355,1,1,1,5,4,2,3,2,4,1,2,2
356,3,3,2,1,1,1,3,1,2,3,4,4
357,2,1,1,3,2,3,3,4,4,2,1,2
358,3,1,4,2,3,2,4,1,3,1,3,1
359,2,3,5,1,4,2,1,2,1,2,2,3
360,3,1,1,3,3,1,4,2,2,4,2,2
361,3,3,2,3,3,2,1,2,1,3,2,3
362,3,2,2,2,2,1,3,5,1,2,4,1
363,4,2,1,2,2,1,2,2,4,3,1,4
364,2,3,1,3,2,3,3,2,4,1,1,3
